No	カードパック	職業	種類	カード名1		カード名2	カード名3	コスト	攻撃力	体力	系統	画像	レア度	シンクロ	熟練度	ダンジョン	おうえん	スキルリンク	占い	パワフルバッジ	BET	絶好調	必殺技	メタルボディ
952	05_勇気の英雄譚	魔法使い	特技	【ヒャドの極意】	【ヒャドの極意	ヒャドの極意	ヒャドの極意	4					1											
953	01スタンダード	共通	ユニット	【ヒューザ】	【ヒューザ	ヒューザ	ヒューザ	4	3	5	冒険者		3											
954	11_英雄たちの凱旋	武闘家	建物	【ピラミッド】	【ピラミッド	ピラミッド	ピラミッド	1		1	建物		1			a								
955	10_破壊と創造	共通	建物(トークン)	【ビルダー城】	【ビルダー城	ビルダー城	ビルダー城	2		2	建物B		2											
956	10_破壊と創造	共通	英雄	【ビルド】	【ビルド	ビルド	ビルド	1					3											
957	01スタンダード	魔法使い	特技	【ピンクタイフーン】	【ピンクタイフーン	ピンクタイフーン	ピンクタイフーン	4					1											
958	01スタンダード	僧侶	ユニット	【ピンクモーモン】	【ピンクモーモン	ピンクモーモン	ピンクモーモン	2	2	3	あくま		0											
959	00ベーシック	共通	ユニット	【ファーラット】	【ファーラット	ファーラット	ファーラット	1	1	1			0											
960	09_再会と誓い	戦士	ユニット	【ファーリス王子】	【ファーリス王子	ファーリス王子	ファーリス王子	2	1	2	冒険者		3											
961	08_カジノ	戦士	ユニット	【ファイアボール】	【ファイアボール	ファイアボール	ファイアボール	3	2	4	物質		0								a			
962	06_小さな希望の	武闘家	特技	【ファイトいっぱつ】	【ファイトいっぱつ	ファイトいっぱつ	ファイトいっぱつ	2					0											
963	10_破壊と創造	戦士	ユニット	【ファラリスブル】	【ファラリスブル	ファラリスブル	ファラリスブル	4	4	4			1											
964	03不死鳥	共通	ユニット	【ファンキーバード】	【ファンキーバード	ファンキーバード	ファンキーバード	6	4	6			2				a							
965	06_小さな希望の	共通	ユニット	【ファントムシャドウ】	【ファントムシャドウ	ファントムシャドウ	ファントムシャドウ	7	3	7	ゾンビ		1											
966	01スタンダード	共通	ユニット	【プークプック】	【プークプック	プークプック	プークプック	2	1	3			0											
967	09_再会と誓い	僧侶	ユニット(トークン)	【フーセンドラゴン】	【フーセンドラゴン	フーセンドラゴン	フーセンドラゴン	2	1	3	ドラゴン		0											
968	10_破壊と創造	占い師	ユニット	【フウラ】	【フウラ	フウラ	フウラ	3	2	3	冒険者		3											
969	01スタンダード	共通	ユニット	【フェアリードラゴン】	【フェアリードラゴン	フェアリードラゴン	フェアリードラゴン	3	2	3	ドラゴン		0											
970	09_再会と誓い	武闘家	ユニット	【フェアリーバット】	【フェアリーバット	フェアリーバット	フェアリーバット	1	1	1			1											
971	09_再会と誓い	共通	ユニット	【フェイスボール】	【フェイスボール	フェイスボール	フェイスボール	4	4	3			2											
972	10_破壊と創造	武闘家	ユニット	【ブオーン】	【ブオーン	ブオーン	ブオーン	11	11	11			3											
973	06_小さな希望の	武闘家	ユニット	【プオーン】	【プオーン	プオーン	プオーン	2	3	2			3											
974	11_英雄たちの凱旋	占い師	ユニット	【フォステイル】	【フォステイル	フォステイル	フォステイル	3	2	4	冒険者		3				a	a						
975	06_小さな希望の	僧侶	ユニット	【フォズ大神官】	【フォズ大神官	フォズ大神官	フォズ大神官	3	2	3	冒険者		3											
976	03不死鳥	僧侶	ユニット	【フォレストドラゴ】	【フォレストドラゴ	フォレストドラゴ	フォレストドラゴ	4	3	6	ドラゴン		2											
977	09_再会と誓い	共通	ユニット	【フォレストマスター】	【フォレストマスター	フォレストマスター	フォレストマスター	3	2	3	物質		2											
978	11_英雄たちの凱旋	僧侶	ユニット	【フォレスドン】	【フォレスドン	フォレスドン	フォレスドン	5	4	5			2											
979	07_光と闇の	共通	ユニット	【フォンデュ】	【フォンデュ	フォンデュ	フォンデュ	1	2	1	物質		0											
980	02力の咆哮	共通	ユニット	【ふくぶくろ】	【ふくぶくろ	ふくぶくろ	ふくぶくろ	3	3	1	物質		0											
981	01スタンダード	共通	ユニット	【ふくまねき】	【ふくまねき	ふくまねき	ふくまねき	3	3	1			0											
982	02力の咆哮	武闘家	ユニット	【ふくめんバニー】	【ふくめんバニー	ふくめんバニー	ふくめんバニー	3	4	3			1											
983	01スタンダード	僧侶	特技	【ふしぎなタンバリン】	【ふしぎなタンバリン	ふしぎなタンバリン	ふしぎなタンバリン	4					1				a							
984	01スタンダード	共通	ユニット	【プチアーノン】	【プチアーノン	プチアーノン	プチアーノン	1	0	2			1											
985	13_星降りの決戦	魔法使い	ユニット	【ぶちキング】	【ぶちキング	ぶちキング	ぶちキング	7	1	1	スライム		2								a			
986	10_破壊と創造	魔剣士	ユニット	【プチさまようよろい】	【プチさまようよろい	プチさまようよろい	プチさまようよろい	1	2	1	物質		0											
987	08_カジノ	魔法使い	ユニット	【ぶちスライム】	【ぶちスライム	ぶちスライム	ぶちスライム	3	1	1	スライム		0								a			
988	13_星降りの決戦	盗賊	ユニット	【ぶちスライムベス】	【ぶちスライムベス	ぶちスライムベス	ぶちスライムベス	2	2	2	スライム		1											
989	06_小さな希望の	魔剣士	ユニット	【プチターク】	【プチターク	プチターク	プチターク	1	2	1	魔王		3											
990	06_小さな希望の	共通	ユニット	【プチヒーロー】	【プチヒーロー	プチヒーロー	プチヒーロー	2	2	2			2	a										
991	06_小さな希望の	共通	ユニット	【プチファイター】	【プチファイター	プチファイター	プチファイター	1	1	1			1	a										
992	06_小さな希望の	僧侶	ユニット	【プチプリースト】	【プチプリースト	プチプリースト	プチプリースト	1	0	2			1	a										
993	06_小さな希望の	魔法使い	ユニット	【プチマージ】	【プチマージ	プチマージ	プチマージ	1	1	1			1	a										
994	08_カジノ	商人	ユニット	【ぷちメタル】	【ぷちメタル	ぷちメタル	ぷちメタル	2	1	2	スライム		2								a			a
995	06_小さな希望の	共通	ユニット	【ブチュチュンパ】	【ブチュチュンパ	ブチュチュンパ	ブチュチュンパ	2	3	2			0											
996	06_小さな希望の	僧侶	武器	【ふっかつの杖】	【ふっかつの杖	ふっかつの杖	ふっかつの杖	7	3	2			1											
997	04もりもり	共通	ユニット	【ぶっちズキーニャ】	【ぶっちズキーニャ	ぶっちズキーニャ	ぶっちズキーニャ	4	3	5			1											
998	07_光と闇の	共通	ユニット	【プテラノドン】	【プテラノドン	プテラノドン	プテラノドン	2	2	1			2											
999	01スタンダード	僧侶	ユニット	【ふゆうじゅ】	【ふゆうじゅ	ふゆうじゅ	ふゆうじゅ	1	1	3			0											
1000	05_勇気の英雄譚	占い師	ユニット(トークン)	【プヨンターゲット】	【プヨンターゲット	プヨンターゲット	プヨンターゲット	2	2	3			1											
1001	07_光と闇の	武闘家	ユニット	【ブライ】	【ブライ	ブライ	ブライ	2	1	3	冒険者		3											
1002	06_小さな希望の	魔剣士	ユニット	【フライングデス】	【フライングデス	フライングデス	フライングデス	4	4	4			1											
1003	01スタンダード	戦士	ユニット	【ブラウニー】	【ブラウニー	ブラウニー	ブラウニー	3	1	4			1											
1004	09_再会と誓い	僧侶	特技	【ブラストアロー】	【ブラストアロー	ブラストアロー	ブラストアロー	3					1											
1005	05_勇気の英雄譚	武闘家	ユニット	【プラズママウス】	【プラズママウス	プラズママウス	プラズママウス	2	3	2			2											
1006	08_カジノ	商人	ユニット	【プラチナキング】	【プラチナキング	プラチナキング	プラチナキング	7	3	3	スライム		3											a
1007	09_再会と誓い	戦士	武器	【プラチナソード】	【プラチナソード	プラチナソード	プラチナソード	3	2	3			1											
1008	12_そして伝説は	盗賊	ユニット	【ブラックサンタ】	【ブラックサンタ	ブラックサンタ	ブラックサンタ	4	3	5	ゾンビ		2											
1009	08_カジノ	商人	ユニット(トークン)	【ブラックタヌー】	【ブラックタヌー	ブラックタヌー	ブラックタヌー	1	1	2			0											
1010	01スタンダード	共通	ユニット	【ブラックチャック】	【ブラックチャック	ブラックチャック	ブラックチャック	6	6	3			1											
1011	04もりもり	共通	ユニット	【ブラックドラゴン】	【ブラックドラゴン	ブラックドラゴン	ブラックドラゴン	7	6	6	ドラゴン		2											
1012	10_破壊と創造	共通	ユニット	【ブラックベジター】	【ブラックベジター	ブラックベジター	ブラックベジター	4	2	2			2											
1013	07_光と闇の	僧侶	ユニット	【ブラックマンティス】	【ブラックマンティス	ブラックマンティス	ブラックマンティス	2	1	4			1											
1014	01スタンダード	共通	ユニット	【ブラックルーン】	【ブラックルーン	ブラックルーン	ブラックルーン	7	7	6			0											
1015	05_勇気の英雄譚	戦士	ユニット	【ブラッドソード】	【ブラッドソード	ブラッドソード	ブラッドソード	2	2	2	物質		2											
1016	11_英雄たちの凱旋	盗賊	武器	【ブラッドナイフ】	【ブラッドナイフ	ブラッドナイフ	ブラッドナイフ	3	1	3			1											
1017	00ベーシック	共通	ユニット	【ブラッドハンド】	【ブラッドハンド	ブラッドハンド	ブラッドハンド	6	2	2	ゾンビ		0											
1018	09_再会と誓い	武闘家	ユニット	【ブラッドミスト】	【ブラッドミスト	ブラッドミスト	ブラッドミスト	4	1	6			0											
1019	04もりもり	共通	ユニット	【ブラッドレディ】	【ブラッドレディ	ブラッドレディ	ブラッドレディ	3	3	3			1											
1020	12_そして伝説は	占い師	ユニット	【ブラディーポ】	【ブラディーポ	ブラディーポ	ブラディーポ	4	4	4	あくま		2						a					
1021	06_小さな希望の	商人	ユニット	【ブラバニクイーン】	【ブラバニクイーン	ブラバニクイーン	ブラバニクイーン	4	4	2			2	a										
1022	06_小さな希望の	共通	ユニット	【フラワーゾンビ】	【フラワーゾンビ	フラワーゾンビ	フラワーゾンビ	1	1	1	ゾンビ		2											
1023	12_そして伝説は	武闘家	ユニット	【ブランマトック】	【ブランマトック	ブランマトック	ブランマトック	5	0	3			2		a									
1024	00ベーシック	共通	ユニット	【プリーストナイト】	【プリーストナイト	プリーストナイト	プリーストナイト	4	3	5	あくま		1											
1025	12_そして伝説は	魔法使い	ユニット	【ブリザード】	【ブリザード	ブリザード	ブリザード	2	2	3			0											
1026	05_勇気の英雄譚	共通	ユニット(トークン)	【プリズニャン】	【プリズニャン	プリズニャン	プリズニャン	1	1	1			0											
1027	13_星降りの決戦	僧侶	ユニット	【プリズムタワー】	【プリズムタワー	プリズムタワー	プリズムタワー	3	2	3	スライム		1											
1028	03不死鳥	共通	特技(トークン)	【ブルーオーブ】	【ブルーオーブ	ブルーオーブ	ブルーオーブ	3					2											
1029	06_小さな希望の	戦士	ユニット	【ブルサベージ】	【ブルサベージ	ブルサベージ	ブルサベージ	4	2	6	あくま		2									a		
1030	13_星降りの決戦	戦士	ユニット	【フルスネイカー】	【フルスネイカー	フルスネイカー	フルスネイカー	1	1	3	ドラゴン		0											
1031	01スタンダード	共通	ユニット	【ブルベリーノ】	【ブルベリーノ	ブルベリーノ	ブルベリーノ	4	4	3			1											
1032	05_勇気の英雄譚	占い師	ユニット	【ブルホーク】	【ブルホーク	ブルホーク	ブルホーク	3	3	2			1						a					
1033	01スタンダード	共通	ユニット	【フレイム】	【フレイム	フレイム	フレイム	2	1	1			0											
1034	08_カジノ	商人	武器(トークン)	【ブレッドハンド】	【ブレッドハンド	ブレッドハンド	ブレッドハンド	1	3	3			2											
1035	06_小さな希望の	共通	ユニット	【プレミアムスライム】	【プレミアムスライム	プレミアムスライム	プレミアムスライム	4	3	3	スライム		0											
1036	02力の咆哮	魔法使い	特技	【フローズンリンク】	【フローズンリンク	フローズンリンク	フローズンリンク	4					2											
1037	02力の咆哮	共通	ユニット	【フローラ】	【フローラ	フローラ	フローラ	5	5	5	冒険者		3					a						
1038	01スタンダード	魔法使い	ユニット	【フロストギズモ】	【フロストギズモ	フロストギズモ	フロストギズモ	3	2	4			0											
1039	08_カジノ	魔法使い	ユニット	【フロッガー】	【フロッガー	フロッガー	フロッガー	2	3	2			0											
1040	00ベーシック	盗賊	武器	【ブロンズナイフ】	【ブロンズナイフ	ブロンズナイフ	ブロンズナイフ	3	2	4			1											
1041	09_再会と誓い	盗賊	特技	【ぶんしん】	【ぶんしん	ぶんしん	ぶんしん	4					2										a	
1042	01スタンダード	武闘家	特技	【ぶんしんけん】	【ぶんしんけん	ぶんしんけん	ぶんしんけん	2					1											
1043	13_星降りの決戦	共通	建物(トークン)	【ベースキャンプ】	【ベースキャンプ	ベースキャンプ	ベースキャンプ	2		3	建物B		2											
1044	02力の咆哮	武闘家	ユニット	【ベスキング】	【ベスキング	ベスキング	ベスキング	4	3	3	スライム		1											
1045	07_光と闇の	武闘家	特技	【ベストスマイル】	【ベストスマイル	ベストスマイル	ベストスマイル	3					1										a	
1046	10_破壊と創造	盗賊	特技	【ヘッドハント】	【ヘッドハント	ヘッドハント	ヘッドハント	5					1											
1047	04もりもり	共通	ユニット	【ベビーゴイル】	【ベビーゴイル	ベビーゴイル	ベビーゴイル	4	4	4	あくま		0											
1048	00ベーシック	魔剣士	ユニット	【ベビーサタン】	【ベビーサタン	ベビーサタン	ベビーサタン	2	3	2	あくま		0											
1049	08_カジノ	僧侶	ユニット	【ベビーサラマンダ】	【ベビーサラマンダ	ベビーサラマンダ	ベビーサラマンダ	4	2	6	ドラゴン		2								a			
1050	07_光と闇の	僧侶	ユニット	【ベビーニュート】	【ベビーニュート	ベビーニュート	ベビーニュート	5	3	6	ドラゴン		2											
1051	02力の咆哮	共通	ユニット	【ベビーパンサー】	【ベビーパンサー	ベビーパンサー	ベビーパンサー	2	2	2			1				a							
1052	03不死鳥	魔法使い	ユニット	【ベビーマジシャン】	【ベビーマジシャン	ベビーマジシャン	ベビーマジシャン	3	2	3	あくま		2											
1053	09_再会と誓い	盗賊	ユニット	【ベビル】	【ベビル	ベビル	ベビル	4	4	4	あくま		1											
1054	01スタンダード	僧侶	特技	【ベホイミ】	【ベホイミ	ベホイミ	ベホイミ	2					1											
1055	08_カジノ	共通	ユニット	【ベホイミスライム】	【ベホイミスライム	ベホイミスライム	ベホイミスライム	2	2	3	スライム		1								a			
1056	12_そして伝説は	僧侶	ユニット	【ベホイムスライム】	【ベホイムスライム	ベホイムスライム	ベホイムスライム	2	1	4	スライム		2											
1057	01スタンダード	僧侶	特技	【ベホマ】	【ベホマ	ベホマ	ベホマ	5					2											
1058	13_星降りの決戦	僧侶	ユニット	【ベホマスライム】	【ベホマスライム	ベホマスライム	ベホマスライム	6	4	4	スライム		1											
1059	01スタンダード	僧侶	特技	【ベホマラー】	【ベホマラー	ベホマラー	ベホマラー	3					0											
1060	10_破壊と創造	占い師	ユニット	【ヘラクレイザー】	【ヘラクレイザー	ヘラクレイザー	ヘラクレイザー	7	4	5			2						a					
1061	01スタンダード	僧侶	ユニット	【ベリアル】	【ベリアル	ベリアル	ベリアル	7	6	6	あくま		3											
1062	04もりもり	戦士	ユニット	【ヘルオーディン】	【ヘルオーディン	ヘルオーディン	ヘルオーディン	5	5	6	ゾンビ		2							a				
1063	03不死鳥	占い師	ユニット(トークン)	【ヘルガーディアン】	【ヘルガーディアン	ヘルガーディアン	ヘルガーディアン	5	4	4	ゾンビ		0											
1064	13_星降りの決戦	商人	ユニット	【ヘルカッチャ】	【ヘルカッチャ	ヘルカッチャ	ヘルカッチャ	5	5	5	物質		1											
1065	13_星降りの決戦	武闘家	ユニット	【ヘルクラウド】	【ヘルクラウド	ヘルクラウド	ヘルクラウド	5	4	8	物質		3											
1066	09_再会と誓い	盗賊	ユニット	【ヘルクラッシャー】	【ヘルクラッシャー	ヘルクラッシャー	ヘルクラッシャー	11	4	6	ゾンビ		2											
1067	01スタンダード	共通	ユニット	【ヘルゴースト】	【ヘルゴースト	ヘルゴースト	ヘルゴースト	6	6	4	ゾンビ		1											
1068	09_再会と誓い	共通	ユニット	【ヘルコンダクター】	【ヘルコンダクター	ヘルコンダクター	ヘルコンダクター	3	1	4			1											
1069	01スタンダード	共通	ユニット	【ヘルコンドル】	【ヘルコンドル	ヘルコンドル	ヘルコンドル	2	3	1			0											
1070	09_再会と誓い	僧侶	ユニット	【ベルザブル】	【ベルザブル	ベルザブル	ベルザブル	4	3	5			0											
1071	04もりもり	共通	ユニット	【ヘルシーサー】	【ヘルシーサー	ヘルシーサー	ヘルシーサー	5	4	5			0											
1072	12_そして伝説は	盗賊	ユニット	【ヘルジャッカル】	【ヘルジャッカル	ヘルジャッカル	ヘルジャッカル	4	5	3			2											
1073	11_英雄たちの凱旋	魔法使い	ユニット	【ヘルジュラシック】	【ヘルジュラシック	ヘルジュラシック	ヘルジュラシック	4	4	5	ドラゴン		1											
1074	11_英雄たちの凱旋	共通	ユニット	【ヘルズクロウ】	【ヘルズクロウ	ヘルズクロウ	ヘルズクロウ	4	4	4			1											
1075	11_英雄たちの凱旋	共通	ユニット	【ヘルチェイサー】	【ヘルチェイサー	ヘルチェイサー	ヘルチェイサー	6	3	5	ゾンビ		1											
1076	06_小さな希望の	共通	ユニット	【ヘルパイレーツ】	【ヘルパイレーツ	ヘルパイレーツ	ヘルパイレーツ	4	3	5			0											
1077	06_小さな希望の	魔剣士	ユニット	【ヘルバオム】	【ヘルバオム	ヘルバオム	ヘルバオム	7	8	4			2											
1078	12_そして伝説は	占い師	ユニット	【ヘルバトラー】	【ヘルバトラー	ヘルバトラー	ヘルバトラー	6	6	6	あくま		2		a									
1079	07_光と闇の	戦士	ユニット	【ヘルビースト】	【ヘルビースト	ヘルビースト	ヘルビースト	4	2	4	あくま		2											
1080	00ベーシック	占い師	ユニット	【ベルフェゴル】	【ベルフェゴル	ベルフェゴル	ベルフェゴル	4	3	5	あくま		0											
1081	09_再会と誓い	占い師	ユニット	【ヘルプラネット】	【ヘルプラネット	ヘルプラネット	ヘルプラネット	4	3	4			2											
1082	00ベーシック	商人	ユニット	【ヘルホーネット】	【ヘルホーネット	ヘルホーネット	ヘルホーネット	2	2	2			0											
1083	01スタンダード	商人	ユニット	【ヘルボックル】	【ヘルボックル	ヘルボックル	ヘルボックル	4	4	4			0											
1084	12_そして伝説は	魔法使い	ユニット	【ヘルミラージュ】	【ヘルミラージュ	ヘルミラージュ	ヘルミラージュ	8	7	7			2											
1085	02力の咆哮	魔法使い	ユニット	【ベロニカ】	【ベロニカ	ベロニカ	ベロニカ	5	5	4	冒険者		3											
1086	09_再会と誓い	共通	ユニット	【ベロニャーゴ】	【ベロニャーゴ	ベロニャーゴ	ベロニャーゴ	2	1	3			0											
1087	09_再会と誓い	商人	ユニット	【ベロベロ】	【ベロベロ	ベロベロ	ベロベロ	4	2	2			0											
1088	11_英雄たちの凱旋	武闘家	ユニット	【ベロリンマン】	【ベロリンマン	ベロリンマン	ベロリンマン	5	2	2			3				a							
1089	03不死鳥	商人	ユニット	【ベンガルクーン】	【ベンガルクーン	ベンガルクーン	ベンガルクーン	3	3	3			0											
1090	07_光と闇の	商人	特技	【へんげのステッキ】	【へんげのステッキ	へんげのステッキ	へんげのステッキ	3					1											
1091	11_英雄たちの凱旋	商人	ユニット	【ヘンリー】	【ヘンリー	ヘンリー	ヘンリー	2	2	2	冒険者		3	a										
1092	07_光と闇の	魔剣士	ユニット	【ポイズンキッス】	【ポイズンキッス	ポイズンキッス	ポイズンキッス	5	3	5			2											
1093	06_小さな希望の	共通	ユニット	【ポイズンリザード】	【ポイズンリザード	ポイズンリザード	ポイズンリザード	2	3	2			0									a		
1094	01スタンダード	共通	ユニット	【ホイップゴースト】	【ホイップゴースト	ホイップゴースト	ホイップゴースト	1	0	1			0											
1095	00ベーシック	僧侶	特技	【ホイミ】	【ホイミ	ホイミ	ホイミ	0					0											
1096	01スタンダード	共通	ユニット	【ホイミスライム】	【ホイミスライム	ホイミスライム	ホイミスライム	2	1	3	スライム		0											
1097	05_勇気の英雄譚	戦士	ユニット(トークン)	【ホイミン】	【ホイミン	ホイミン	ホイミン	2	1	3	スライム		2											
1098	02力の咆哮	僧侶	ユニット	【ほうおう】	【ほうおう	ほうおう	ほうおう	7	6	7			1											
1099	00ベーシック	戦士	ユニット	【ぼうれい剣士】	【ぼうれい剣士	ぼうれい剣士	ぼうれい剣士	3	5	1	ゾンビ		1											
1100	05_勇気の英雄譚	魔剣士	ユニット	【ホークブリザード】	【ホークブリザード	ホークブリザード	ホークブリザード	6	4	3			2											
1101	01スタンダード	共通	ユニット	【ホークマン】	【ホークマン	ホークマン	ホークマン	3	4	2			0											
1102	01スタンダード	占い師	ユニット(トークン)	【ホースデビル】	【ホースデビル	ホースデビル	ホースデビル	4	4	4	あくま		0											
1103	01スタンダード	僧侶	特技	【ホーリーライト】	【ホーリーライト	ホーリーライト	ホーリーライト	4					1											
1104	01スタンダード	共通	ユニット	【ボーンナイト】	【ボーンナイト	ボーンナイト	ボーンナイト	3	3	3	ゾンビ		0											
1105	01スタンダード	僧侶	ユニット	【ボーンバット】	【ボーンバット	ボーンバット	ボーンバット	2	3	4	ゾンビ		0											
1106	05_勇気の英雄譚	共通	ユニット	【ホーンビートル】	【ホーンビートル	ホーンビートル	ホーンビートル	5	5	5			0											
1107	02力の咆哮	戦士	ユニット	【ボーンファイター】	【ボーンファイター	ボーンファイター	ボーンファイター	5	4	6	ゾンビ		2											
1108	01スタンダード	魔剣士	ユニット	【ボーンプリズナー】	【ボーンプリズナー	ボーンプリズナー	ボーンプリズナー	4	4	4	ゾンビ		0											
1109	08_カジノ	武闘家	特技(トークン)	【ほしふるうでわ】	【ほしふるうでわ	ほしふるうでわ	ほしふるうでわ	2					2											
1110	08_カジノ	魔法使い	ユニット	【ボックススライム】	【ボックススライム	ボックススライム	ボックススライム	2	1	3	スライム		2								a			
1111	10_破壊と創造	戦士	特技(トークン)	【ホットストーン】	【ホットストーン	ホットストーン	ホットストーン	2					2											
1112	05_勇気の英雄譚	共通	ユニット	【ほねコウモリ】	【ほねコウモリ	ほねコウモリ	ほねコウモリ	3	4	6	ゾンビ		1											
1113	05_勇気の英雄譚	武闘家	ユニット	【ほのおのせんし】	【ほのおのせんし	ほのおのせんし	ほのおのせんし	4	4	3			2											
1114	13_星降りの決戦	商人	ユニット	【ポポロ】	【ポポロ	ポポロ	ポポロ	4	1	1	冒険者		3											
1115	04もりもり	共通	ユニット	【ホミロン軍曹】	【ホミロン軍曹	ホミロン軍曹	ホミロン軍曹	2	1	3	スライム		3											
1116	05_勇気の英雄譚	占い師	ユニット	【ポムポムボム】	【ポムポムボム	ポムポムボム	ポムポムボム	3	2	4			1											
1117	03不死鳥	魔剣士	ユニット	【ホメロス】	【ホメロス	ホメロス	ホメロス	6	4	3			3											
1118	13_星降りの決戦	魔剣士	ユニット	【ホラーウォーカー】	【ホラーウォーカー	ホラーウォーカー	ホラーウォーカー	9	3	4	あくま		1											
1119	02力の咆哮	共通	ユニット	【ボル＆ブル】	【ボル＆ブル	ボル＆ブル	ボル＆ブル	3	3	2			0											
1120	01スタンダード	共通	ユニット	【ホロゴースト】	【ホロゴースト	ホロゴースト	ホロゴースト	6	5	7			0											
1121	13_星降りの決戦	盗賊	ユニット	【ホワイトキング】	【ホワイトキング	ホワイトキング	ホワイトキング	4	2	4	スライム		2											
1122	12_そして伝説は	魔法使い	ユニット	【ホワイトサンゴラ】	【ホワイトサンゴラ	ホワイトサンゴラ	ホワイトサンゴラ	7	4	4	物質		2											
1123	06_小さな希望の	占い師	ユニット	【ホワイトパンサー】	【ホワイトパンサー	ホワイトパンサー	ホワイトパンサー	4	2	4			2									a		
1124	05_勇気の英雄譚	共通	ユニット	【ホワイトビート】	【ホワイトビート	ホワイトビート	ホワイトビート	2	2	1	物質		2											
1125	09_再会と誓い	共通	ユニット	【ポンポコだぬき】	【ポンポコだぬき	ポンポコだぬき	ポンポコだぬき	2	3	2			2											
1126	13_星降りの決戦	武闘家	武器	【ポンポンクロー】	【ポンポンクロー	ポンポンクロー	ポンポンクロー	4	2	2			1											
1127	12_そして伝説は	占い師	ユニット	【マージインプ】	【マージインプ	マージインプ	マージインプ	3	3	3	あくま		1											
1128	07_光と闇の	共通	ユニット	【マージスター】	【マージスター	マージスター	マージスター	3	2	4			0											
1129	10_破壊と創造	僧侶	ユニット	【マージマタンゴ】	【マージマタンゴ	マージマタンゴ	マージマタンゴ	4	2	7			0											
1130	09_再会と誓い	僧侶	ユニット	【マージリンリン】	【マージリンリン	マージリンリン	マージリンリン	3	2	4	物質		0											
1131	03不死鳥	占い師	ユニット	【マーニャ】	【マーニャ	マーニャ	マーニャ	6	4	4	冒険者		3											
1132	03不死鳥	占い師	ユニット(トークン)	【マーニャ：ドラゴラム】	【マーニャ：ドラゴラム	マーニャ：ドラゴラム	マーニャ：ドラゴラム	6	6	6	ドラゴン		3											
1133	07_光と闇の	共通	ユニット	【マーブルン】	【マーブルン	マーブルン	マーブルン	2	2	1			0											
1134	09_再会と誓い	占い師	ユニット	【マーマン】	【マーマン	マーマン	マーマン	1	1	2			0											
1135	04もりもり	共通	ユニット	【マーマンダイン】	【マーマンダイン	マーマンダイン	マーマンダイン	2	3	2			1							a				
1136	03不死鳥	武闘家	ユニット	【マイユ】	【マイユ	マイユ	マイユ	9	6	6	冒険者		3											
1137	06_小さな希望の	共通	ユニット	【まおうのかげ】	【まおうのかげ	まおうのかげ	まおうのかげ	7	4	7			1									a		
1138	11_英雄たちの凱旋	共通	ユニット	【まおうのかめん】	【まおうのかめん	まおうのかめん	まおうのかめん	2	2	3	物質		1											
1139	07_光と闇の	共通	ユニット	【まおうのたまご】	【まおうのたまご	まおうのたまご	まおうのたまご	2	2	1	スライム		2											
1140	03不死鳥	魔剣士	ユニット	【まおうのつかい】	【まおうのつかい	まおうのつかい	まおうのつかい	4	4	4	ゾンビ		1											
1141	07_光と闇の	魔剣士	ユニット	【まおうのランプ】	【まおうのランプ	まおうのランプ	まおうのランプ	3	4	2	物質		2											
1142	03不死鳥	共通	ユニット	【まかいじゅ】	【まかいじゅ	まかいじゅ	まかいじゅ	6	3	7			0											
1143	08_カジノ	戦士	ユニット	【まかいファイター】	【まかいファイター	まかいファイター	まかいファイター	6	4	5	ドラゴン		2								a			
1144	10_破壊と創造	共通	ユニット	【マギール】	【マギール	マギール	マギール	2	2	3	あくま		2											
1145	08_カジノ	商人	ユニット	【マグマロン】	【マグマロン	マグマロン	マグマロン	4	2	5			0								a			
1146	09_再会と誓い	僧侶	ユニット	【マクロベータ】	【マクロベータ	マクロベータ	マクロベータ	2	2	3	ゾンビ		2											
1147	04もりもり	共通	ユニット	【マザーウッド】	【マザーウッド	マザーウッド	マザーウッド	6	5	5			1											
1148	01スタンダード	商人	ユニット	【マジカルハット】	【マジカルハット	マジカルハット	マジカルハット	3	1	3	物質		2											
1149	01スタンダード	魔法使い	ユニット	【マジックフライ】	【マジックフライ	マジックフライ	マジックフライ	2	1	1			0											
1150	07_光と闇の	魔剣士	ユニット	【マジックリップス】	【マジックリップス	マジックリップス	マジックリップス	5	4	5			0											
1151	03不死鳥	魔法使い	ユニット	【まじゅつし】	【まじゅつし	まじゅつし	まじゅつし	2	2	2	あくま		1											
1152	11_英雄たちの凱旋	魔法使い	ユニット	【まじょ】	【まじょ	まじょ	まじょ	2	3	2	あくま		0											
1153	03不死鳥	僧侶	ユニット	【ましょうぐも】	【ましょうぐも	ましょうぐも	ましょうぐも	3	3	2			2											
1154	01スタンダード	戦士	特技	【まじん斬り】	【まじん斬り	まじん斬り	まじん斬り	2					0											
1155	08_カジノ	商人	ユニット	【まだらイチョウ】	【まだらイチョウ	まだらイチョウ	まだらイチョウ	6	3	4			2								a			
1156	05_勇気の英雄譚	共通	ユニット	【マタンゴ】	【マタンゴ	マタンゴ	マタンゴ	2	2	3			1											
1157	01スタンダード	魔法使い	特技	【マダンテ】	【マダンテ	マダンテ	マダンテ	10					2										a	
1158	11_英雄たちの凱旋	共通	ユニット	【マッシュスライム】	【マッシュスライム	マッシュスライム	マッシュスライム	1	0	3	スライム		0											
